departement.type,departement.value,code_insee.type,code_insee.value,communePopulation.datatype,communePopulation.type,communePopulation.value,code_commune.type,code_commune.value,departementLabel.xml:lang,departementLabel.type,departementLabel.value,communeLabel.xml:lang,communeLabel.type,communeLabel.value,regionLabel.xml:lang,regionLabel.type,regionLabel.value
uri,http://www.wikidata.org/entity/Q3377,literal,28,http://www.w3.org/2001/XMLSchema#decimal,literal,38534,literal,28000,fr,literal,Eure-et-Loir,fr,literal,Chartres,fr,literal,Centre-Val de Loire
uri,http://www.wikidata.org/entity/Q12574,literal,45,http://www.w3.org/2001/XMLSchema#decimal,literal,116269,literal,45000,fr,literal,Loiret,fr,literal,Orléans,fr,literal,Centre-Val de Loire
uri,http://www.wikidata.org/entity/Q12543,literal,92,http://www.w3.org/2001/XMLSchema#decimal,literal,96277,literal,92000,fr,literal,Hauts-de-Seine,fr,literal,Nanterre,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q12784,literal,95,http://www.w3.org/2001/XMLSchema#decimal,literal,25335,literal,95600,fr,literal,Val-d'Oise,fr,literal,Eaubonne,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q3389,literal,29,http://www.w3.org/2001/XMLSchema#decimal,literal,139926,literal,29200,fr,literal,Finistère,fr,literal,Brest,fr,literal,Bretagne
uri,http://www.wikidata.org/entity/Q12753,literal,77,http://www.w3.org/2001/XMLSchema#decimal,literal,26580,literal,77270,fr,literal,Seine-et-Marne,fr,literal,Villeparisis,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q3368,literal,91,http://www.w3.org/2001/XMLSchema#decimal,literal,35830,literal,91700,fr,literal,Essonne,fr,literal,Sainte-Geneviève-des-Bois,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q3368,literal,91,http://www.w3.org/2001/XMLSchema#decimal,literal,50644,literal,91300,fr,literal,Essonne,fr,literal,Massy,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q12761,literal,93,http://www.w3.org/2001/XMLSchema#decimal,literal,51734,literal,93270,fr,literal,Seine-Saint-Denis,fr,literal,Sevran,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q12761,literal,93,http://www.w3.org/2001/XMLSchema#decimal,literal,54611,literal,93800,fr,literal,Seine-Saint-Denis,fr,literal,Épinay-sur-Seine,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q12761,literal,93,http://www.w3.org/2001/XMLSchema#decimal,literal,30405,literal,93250,fr,literal,Seine-Saint-Denis,fr,literal,Villemomble,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q12549,literal,35,http://www.w3.org/2001/XMLSchema#decimal,literal,220488,literal,35000,fr,literal,Ille-et-Vilaine,fr,literal,Rennes,fr,literal,Bretagne
uri,http://www.wikidata.org/entity/Q12549,literal,35,http://www.w3.org/2001/XMLSchema#decimal,literal,220488,literal,35200,fr,literal,Ille-et-Vilaine,fr,literal,Rennes,fr,literal,Bretagne
uri,http://www.wikidata.org/entity/Q12549,literal,35,http://www.w3.org/2001/XMLSchema#decimal,literal,220488,literal,35700,fr,literal,Ille-et-Vilaine,fr,literal,Rennes,fr,literal,Bretagne
uri,http://www.wikidata.org/entity/Q12761,literal,93,http://www.w3.org/2001/XMLSchema#decimal,literal,72376,literal,93700,fr,literal,Seine-Saint-Denis,fr,literal,Drancy,fr,literal,Île-de-France
